DATE,SKEW
2019-06-27,117.500000
2019-06-28,118.120000
2019-07-01,119.860000
2019-07-02,122.140000
2019-07-03,120.820000
2019-07-08,121.420000
2019-07-09,120.440000
2019-07-10,120.660000
2019-07-11,122.450000
2019-07-12,123.650000
2019-07-15,126.220000
2019-07-16,125.150000
2019-07-17,123.980000
2019-07-18,125.420000
2019-07-19,125.500000
2019-07-22,125.360000
2019-07-23,124.650000
2019-07-24,123.080000
2019-07-25,121.880000
2019-07-26,123.270000
2019-07-29,125.100000
2019-07-30,121.940000
2019-07-31,121.710000
2019-08-01,117.070000
2019-08-02,117.250000
2019-08-05,113.300000
2019-08-06,114.200000
2019-08-07,113.960000
2019-08-08,117.710000
2019-08-09,116.340000
2019-08-12,115.150000
2019-08-13,117.580000
2019-08-14,113.480000
2019-08-15,112.520000
2019-08-16,115.840000
2019-08-19,116.480000
2019-08-20,114.780000
2019-08-21,114.480000
2019-08-22,114.460000
2019-08-23,112.620000
2019-08-26,113.070000
2019-08-27,111.760000
2019-08-28,113.650000
2019-08-29,115.020000
2019-08-30,115.370000
2019-09-03,114.680000
2019-09-04,115.990000
2019-09-05,118.580000
2019-09-06,118.870000
2019-09-09,118.790000
2019-09-10,119.010000
2019-09-11,119.950000
2019-09-12,119.950000
2019-09-13,118.400000
2019-09-16,119.160000
2019-09-17,117.940000
2019-09-18,118.090000
2019-09-19,118.770000
2019-09-20,117.500000
2019-09-23,118.780000
2019-09-24,118.010000
2019-09-25,117.980000
2019-09-26,117.510000
2019-09-27,116.610000
2019-09-30,117.670000
2019-10-01,114.010000
2019-10-02,111.470000
2019-10-03,112.440000
2019-10-04,114.540000
2019-10-07,118.760000
2019-10-08,118.420000
2019-10-09,119.950000
2019-10-10,120.850000
2019-10-11,122.400000
2019-10-14,124.850000
2019-10-15,127.170000
2019-10-16,125.530000
2019-10-17,128.010000
2019-10-18,126.240000
2019-10-21,128.440000
2019-10-22,125.790000
2019-10-23,127.920000
2019-10-24,125.220000
2019-10-25,125.700000
2019-10-28,125.260000
2019-10-29,127.290000
2019-10-30,129.640000
2019-10-31,130.710000
2019-11-01,126.880000
2019-11-04,129.740000
2019-11-05,126.780000
2019-11-06,125.200000
2019-11-07,124.680000
2019-11-08,123.300000
2019-11-11,123.850000
2019-11-12,123.180000
2019-11-13,124.610000
2019-11-14,126.280000
2019-11-15,124.950000
2019-11-18,126.590000
2019-11-19,127.460000
2019-11-20,125.640000
2019-11-21,124.870000
2019-11-22,125.530000
2019-11-25,128.650000
2019-11-26,130.280000
2019-11-27,130.370000
2019-11-29,129.830000
2019-12-02,126.350000
2019-12-03,122.780000
2019-12-04,123.310000
2019-12-05,123.640000
2019-12-06,131.480000
2019-12-09,136.560000
2019-12-10,135.000000
2019-12-11,134.370000
2019-12-12,132.680000
2019-12-13,144.510000
2019-12-16,143.850000
2019-12-17,137.480000
2019-12-18,144.560000
2019-12-19,150.140000
2019-12-20,147.170000
2019-12-23,143.910000
2019-12-24,143.870000
2019-12-26,143.070000
2019-12-27,140.290000
2019-12-30,133.560000
2019-12-31,139.520000
2020-01-02,137.700000
2020-01-03,133.460000
2020-01-06,132.510000
2020-01-07,129.780000
2020-01-08,136.420000
2020-01-09,133.470000
2020-01-10,128.150000
2020-01-13,131.270000
2020-01-14,130.820000
2020-01-15,135.530000
2020-01-16,133.130000
2020-01-17,134.620000
